1722352551.388280 server started (32330): version 3.4, socket /private/tmp/tmux-501/default, protocol 8
1722352551.388346 on Darwin 23.5.0 Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103
1722352551.388360 using libevent 2.1.12-stable select
1722352551.388374 using utf8proc 2.9.0
1722352551.388382 using ncurses 6.5 20240427
1722352551.417854 yylex_token: -m
1722352551.417858 yylex_token: end at WS
1722352551.417861 yylex_token: Rename
1722352551.417864 yylex_token: end at WS
1722352551.417867 yylex_token: n
1722352551.417871 yylex_token: end at WS
1722352551.417874 yylex_token: command-prompt
1722352551.417878 yylex_token: end at WS
1722352551.417881 yylex_token: -FI
1722352551.417885 yylex_token: end at WS
1722352551.417888 yylex_token: #W
1722352551.417892 yylex_token: end at WS
1722352551.417895 yylex_token: rename-window
1722352551.417898 yylex_token: end at WS
1722352551.417901 yylex_token: -t
1722352551.417905 yylex_token: end at WS
1722352551.417908 yylex_token: #{window_id}
1722352551.417911 yylex_token: end at WS
1722352551.417914 yylex_token: --
1722352551.417918 yylex_token: end at }
1722352551.417921 yylex_token: %%
1722352551.417925 yylex_token: end at WS
1722352551.417928 yylex_token: 
1722352551.417932 yylex_token: end at WS
1722352551.417935 yylex_token: New After
1722352551.417938 yylex_token: end at WS
1722352551.417941 yylex_token: w
1722352551.417945 yylex_token: end at WS
1722352551.417948 yylex_token: new-window
1722352551.417952 yylex_token: end at }
1722352551.417955 yylex_token: -a
1722352551.417959 yylex_token: end at WS
1722352551.417962 yylex_token: New At End
1722352551.417965 yylex_token: end at WS
1722352551.417968 yylex_token: W
1722352551.417972 yylex_token: end at }
1722352551.417975 yylex_token: new-window
1722352551.417980 cmd_parse_build_commands 0:0: bind
1722352551.417988 cmd_parse_build_commands 0:1: -n
1722352551.417992 cmd_parse_build_commands 0:2: M-MouseDown3Status
1722352551.417996 cmd_parse_build_commands 0:3 0:0: display-menu
1722352551.418001 cmd_parse_build_commands 0:3 0:1: -t=
1722352551.418005 cmd_parse_build_commands 0:3 0:2: -xW
1722352551.418008 cmd_parse_build_commands 0:3 0:3: -yW
1722352551.418011 cmd_parse_build_commands 0:3 0:4: -T
1722352551.418015 cmd_parse_build_commands 0:3 0:5: #[align=centre]#{window_index}:#{window_name}
1722352551.418018 cmd_parse_build_commands 0:3 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1722352551.418022 cmd_parse_build_commands 0:3 0:7: l
1722352551.418025 cmd_parse_build_commands 0:3 0:8 0:0: swap-window
1722352551.418029 cmd_parse_build_commands 0:3 0:8 0:1: -t:-1
1722352551.418032 cmd_parse_build_commands 0:3 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1722352551.418036 cmd_parse_build_commands 0:3 0:10: r
1722352551.418039 cmd_parse_build_commands 0:3 0:11 0:0: swap-window
1722352551.418043 cmd_parse_build_commands 0:3 0:11 0:1: -t:+1
1722352551.418046 cmd_parse_build_commands 0:3 0:12: #{?pane_marked_set,,-}Swap Marked
1722352551.418050 cmd_parse_build_commands 0:3 0:13: s
1722352551.418053 cmd_parse_build_commands 0:3 0:14 0:0: swap-window
1722352551.418056 cmd_parse_build_commands 0:3 0:15: 
1722352551.418060 cmd_parse_build_commands 0:3 0:16: Kill
1722352551.418063 cmd_parse_build_commands 0:3 0:17: X
1722352551.418066 cmd_parse_build_commands 0:3 0:18 0:0: kill-window
1722352551.418070 cmd_parse_build_commands 0:3 0:19: Respawn
1722352551.418073 cmd_parse_build_commands 0:3 0:20: R
1722352551.418076 cmd_parse_build_commands 0:3 0:21 0:0: respawn-window
1722352551.418080 cmd_parse_build_commands 0:3 0:21 0:1: -k
1722352551.418083 cmd_parse_build_commands 0:3 0:22: #{?pane_marked,Unmark,Mark}
1722352551.418086 cmd_parse_build_commands 0:3 0:23: m
1722352551.418090 cmd_parse_build_commands 0:3 0:24 0:0: select-pane
1722352551.418093 cmd_parse_build_commands 0:3 0:24 0:1: -m
1722352551.418097 cmd_parse_build_commands 0:3 0:25: Rename
1722352551.418100 cmd_parse_build_commands 0:3 0:26: n
1722352551.418103 cmd_parse_build_commands 0:3 0:27 0:0: command-prompt
1722352551.418107 cmd_parse_build_commands 0:3 0:27 0:1: -FI
1722352551.418110 cmd_parse_build_commands 0:3 0:27 0:2: #W
1722352551.418114 cmd_parse_build_commands 0:3 0:27 0:3 0:0: rename-window
1722352551.418117 cmd_parse_build_commands 0:3 0:27 0:3 0:1: -t
1722352551.418120 cmd_parse_build_commands 0:3 0:27 0:3 0:2: #{window_id}
1722352551.418124 cmd_parse_build_commands 0:3 0:27 0:3 0:3: --
1722352551.418127 cmd_parse_build_commands 0:3 0:27 0:3 0:4: %%
1722352551.418130 cmd_parse_build_commands 0:3 0:28: 
1722352551.418134 cmd_parse_build_commands 0:3 0:29: New After
1722352551.418137 cmd_parse_build_commands 0:3 0:30: w
1722352551.418140 cmd_parse_build_commands 0:3 0:31 0:0: new-window
1722352551.418144 cmd_parse_build_commands 0:3 0:31 0:1: -a
1722352551.418147 cmd_parse_build_commands 0:3 0:32: New At End
1722352551.418150 cmd_parse_build_commands 0:3 0:33: W
1722352551.418154 cmd_parse_build_commands 0:3 0:34 0:0: new-window
1722352551.418159 cmd_parse_build_commands 0:0: display-menu
1722352551.418162 cmd_parse_build_commands 0:1: -t=
1722352551.418166 cmd_parse_build_commands 0:2: -xW
1722352551.418169 cmd_parse_build_commands 0:3: -yW
1722352551.418172 cmd_parse_build_commands 0:4: -T
1722352551.418176 cmd_parse_build_commands 0:5: #[align=centre]#{window_index}:#{window_name}
1722352551.418179 cmd_parse_build_commands 0:6: #{?#{>:#{session_windows},1},,-}Swap Left
1722352551.418183 cmd_parse_build_commands 0:7: l
1722352551.418186 cmd_parse_build_commands 0:8 0:0: swap-window
1722352551.418190 cmd_parse_build_commands 0:8 0:1: -t:-1
1722352551.418193 cmd_parse_build_commands 0:9: #{?#{>:#{session_windows},1},,-}Swap Right
1722352551.418196 cmd_parse_build_commands 0:10: r
1722352551.418200 cmd_parse_build_commands 0:11 0:0: swap-window
1722352551.418203 cmd_parse_build_commands 0:11 0:1: -t:+1
1722352551.418207 cmd_parse_build_commands 0:12: #{?pane_marked_set,,-}Swap Marked
1722352551.418216 cmd_parse_build_commands 0:13: s
1722352551.418220 cmd_parse_build_commands 0:14 0:0: swap-window
1722352551.418223 cmd_parse_build_commands 0:15: 
1722352551.418226 cmd_parse_build_commands 0:16: Kill
1722352551.418230 cmd_parse_build_commands 0:17: X
1722352551.418233 cmd_parse_build_commands 0:18 0:0: kill-window
1722352551.418237 cmd_parse_build_commands 0:19: Respawn
1722352551.418240 cmd_parse_build_commands 0:20: R
1722352551.418243 cmd_parse_build_commands 0:21 0:0: respawn-window
1722352551.418247 cmd_parse_build_commands 0:21 0:1: -k
1722352551.418250 cmd_parse_build_commands 0:22: #{?pane_marked,Unmark,Mark}
1722352551.418253 cmd_parse_build_commands 0:23: m
1722352551.418257 cmd_parse_build_commands 0:24 0:0: select-pane
1722352551.418260 cmd_parse_build_commands 0:24 0:1: -m
1722352551.418263 cmd_parse_build_commands 0:25: Rename
1722352551.418267 cmd_parse_build_commands 0:26: n
1722352551.418270 cmd_parse_build_commands 0:27 0:0: command-prompt
1722352551.418273 cmd_parse_build_commands 0:27 0:1: -FI
1722352551.418277 cmd_parse_build_commands 0:27 0:2: #W
1722352551.418280 cmd_parse_build_commands 0:27 0:3 0:0: rename-window
1722352551.418284 cmd_parse_build_commands 0:27 0:3 0:1: -t
1722352551.418287 cmd_parse_build_commands 0:27 0:3 0:2: #{window_id}
1722352551.418290 cmd_parse_build_commands 0:27 0:3 0:3: --
1722352551.418294 cmd_parse_build_commands 0:27 0:3 0:4: %%
1722352551.418297 cmd_parse_build_commands 0:28: 
1722352551.418300 cmd_parse_build_commands 0:29: New After
1722352551.418304 cmd_parse_build_commands 0:30: w
1722352551.418307 cmd_parse_build_commands 0:31 0:0: new-window
1722352551.418310 cmd_parse_build_commands 0:31 0:1: -a
1722352551.418314 cmd_parse_build_commands 0:32: New At End
1722352551.418317 cmd_parse_build_commands 0:33: W
1722352551.418321 cmd_parse_build_commands 0:34 0:0: new-window
1722352551.418327 cmd_parse_build_commands 0:0: swap-window
1722352551.418330 cmd_parse_build_commands 0:1: -t:-1
1722352551.418335 args_parse_flags: next -t:-1
1722352551.418339 args_parse_flag_argument: -t = :-1
1722352551.418342 args_parse: flags end at 2 of 2
1722352551.418348 cmd_parse_build_commands: swap-window -t :-1
1722352551.418353 cmd_parse_build_commands 0:0: swap-window
1722352551.418356 cmd_parse_build_commands 0:1: -t:+1
1722352551.418361 args_parse_flags: next -t:+1
1722352551.418365 args_parse_flag_argument: -t = :+1
1722352551.418368 args_parse: flags end at 2 of 2
1722352551.418374 cmd_parse_build_commands: swap-window -t :+1
1722352551.418378 cmd_parse_build_commands 0:0: swap-window
1722352551.418383 args_parse: flags end at 1 of 1
1722352551.418387 cmd_parse_build_commands: swap-window
1722352551.418392 cmd_parse_build_commands 0:0: kill-window
1722352551.418396 args_parse: flags end at 1 of 1
1722352551.418400 cmd_parse_build_commands: kill-window
1722352551.418404 cmd_parse_build_commands 0:0: respawn-window
1722352551.418408 cmd_parse_build_commands 0:1: -k
1722352551.418412 args_parse_flags: next -k
1722352551.418415 args_parse_flags: -k
1722352551.418419 args_parse: flags end at 2 of 2
1722352551.418424 cmd_parse_build_commands: respawn-window -k
1722352551.418428 cmd_parse_build_commands 0:0: select-pane
1722352551.418431 cmd_parse_build_commands 0:1: -m
1722352551.418436 args_parse_flags: next -m
1722352551.418439 args_parse_flags: -m
1722352551.418443 args_parse: flags end at 2 of 2
1722352551.418447 cmd_parse_build_commands: select-pane -m
1722352551.418452 cmd_parse_build_commands 0:0: command-prompt
1722352551.418455 cmd_parse_build_commands 0:1: -FI
1722352551.418458 cmd_parse_build_commands 0:2: #W
1722352551.418462 cmd_parse_build_commands 0:3 0:0: rename-window
1722352551.418465 cmd_parse_build_commands 0:3 0:1: -t
1722352551.418469 cmd_parse_build_commands 0:3 0:2: #{window_id}
1722352551.418472 cmd_parse_build_commands 0:3 0:3: --
1722352551.418475 cmd_parse_build_commands 0:3 0:4: %%
1722352551.418480 cmd_parse_build_commands 0:0: rename-window
1722352551.418483 cmd_parse_build_commands 0:1: -t
1722352551.418494 cmd_parse_build_commands 0:2: #{window_id}
1722352551.418497 cmd_parse_build_commands 0:3: --
1722352551.418501 cmd_parse_build_commands 0:4: %%
1722352551.418506 args_parse_flags: next -t
1722352551.418509 args_parse_flag_argument: -t = #{window_id}
1722352551.418513 args_parse_flags: next --
1722352551.418516 args_parse: flags end at 4 of 5
1722352551.418519 args_parse: 4 = %% (type STRING)
1722352551.418527 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1722352551.418531 args_parse_flags: next -FI
1722352551.418534 args_parse_flags: -F
1722352551.418537 args_parse_flag_argument: -I = #W
1722352551.418541 args_parse: flags end at 3 of 4
1722352551.418547 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1722352551.418558 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1722352551.418562 cmd_parse_build_commands 0:0: new-window
1722352551.418566 cmd_parse_build_commands 0:1: -a
1722352551.418570 args_parse_flags: next -a
1722352551.418573 args_parse_flags: -a
1722352551.418577 args_parse: flags end at 2 of 2
1722352551.418581 cmd_parse_build_commands: new-window -a
1722352551.418586 cmd_parse_build_commands 0:0: new-window
1722352551.418590 args_parse: flags end at 1 of 1
1722352551.418595 cmd_parse_build_commands: new-window
1722352551.418598 args_parse_flags: next -t=
1722352551.418602 args_parse_flag_argument: -t = =
1722352551.418605 args_parse_flags: next -xW
1722352551.418608 args_parse_flag_argument: -x = W
1722352551.418612 args_parse_flags: next -yW
1722352551.418615 args_parse_flag_argument: -y = W
1722352551.418618 args_parse_flags: next -T
1722352551.418622 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1722352551.418626 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1722352551.418629 args_parse: flags end at 6 of 35
1722352551.418632 args_parse: 6 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1722352551.418636 args_parse: 7 = l (type STRING)
1722352551.418642 args_parse: 8 = swap-window -t :-1 (type COMMANDS)
1722352551.418646 args_parse: 9 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1722352551.418649 args_parse: 10 = r (type STRING)
1722352551.418655 args_parse: 11 = swap-window -t :+1 (type COMMANDS)
1722352551.418659 args_parse: 12 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1722352551.418663 args_parse: 13 = s (type STRING)
1722352551.418667 args_parse: 14 = swap-window (type COMMANDS)
1722352551.418671 args_parse: 15 =  (type STRING)
1722352551.418674 args_parse: 16 = Kill (type STRING)
1722352551.418678 args_parse: 17 = X (type STRING)
1722352551.418682 args_parse: 18 = kill-window (type COMMANDS)
1722352551.418686 args_parse: 19 = Respawn (type STRING)
1722352551.418689 args_parse: 20 = R (type STRING)
1722352551.418694 args_parse: 21 = respawn-window -k (type COMMANDS)
1722352551.418698 args_parse: 22 = #{?pane_marked,Unmark,Mark} (type STRING)
1722352551.418702 args_parse: 23 = m (type STRING)
1722352551.418706 args_parse: 24 = select-pane -m (type COMMANDS)
1722352551.418710 args_parse: 25 = Rename (type STRING)
1722352551.418713 args_parse: 26 = n (type STRING)
1722352551.418723 args_parse: 27 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1722352551.418727 args_parse: 28 =  (type STRING)
1722352551.418730 args_parse: 29 = New After (type STRING)
1722352551.418734 args_parse: 30 = w (type STRING)
1722352551.418738 args_parse: 31 = new-window -a (type COMMANDS)
1722352551.418742 args_parse: 32 = New At End (type STRING)
1722352551.418746 args_parse: 33 = W (type STRING)
1722352551.418750 args_parse: 34 = new-window (type COMMANDS)
1722352551.418805 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1722352551.418814 args_parse_flags: next -n
1722352551.418817 args_parse_flags: -n
1722352551.418821 args_parse_flags: next M-MouseDown3Status
1722352551.418833 args_parse: flags end at 2 of 4
1722352551.418837 args_parse: 2 = M-MouseDown3Status (type STRING)
1722352551.418885 args_parse: 3 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1722352551.418940 cmd_parse_build_commands: bind-key -n M-MouseDown3Status { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -t = -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1722352551.418956 cmdq_get_command: [bind-key/0x150926590] group 1070
1722352551.418960 cmdq_append <global>: [bind-key/0x150926590]
1722352551.418964 yylex_token: end at WS
1722352551.418968 yylex_token: bind
1722352551.418971 yylex_token: end at WS
1722352551.418974 yylex_token: -n
1722352551.418978 yylex_token: end at WS
1722352551.418982 yylex_token: MouseDown3Pane
1722352551.418985 yylex_token: end at WS
1722352551.418988 yylex_token: if
1722352551.418992 yylex_token: end at WS
1722352551.418995 yylex_token: -Ft=
1722352551.419003 yylex_token: end at WS
1722352551.419007 yylex_token: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1722352551.419011 yylex_token: end at WS
1722352551.419014 yylex_token: select-pane
1722352551.419018 yylex_token: end at ;
1722352551.419021 yylex_token: -t=
1722352551.419024 yylex_token: end at WS
1722352551.419028 yylex_token: send
1722352551.419031 yylex_token: end at WS
1722352551.419034 yylex_token: -M
1722352551.419038 yylex_token: end at WS
1722352551.419042 yylex_token: display-menu
1722352551.419045 yylex_token: end at WS
1722352551.419048 yylex_token: -t=
1722352551.419051 yylex_token: end at WS
1722352551.419054 yylex_token: -xM
1722352551.419058 yylex_token: end at WS
1722352551.419061 yylex_token: -yM
1722352551.419064 yylex_token: end at WS
1722352551.419068 yylex_token: -T
1722352551.419073 yylex_token: end at WS
1722352551.419077 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1722352551.419083 yylex_token: end at WS
1722352551.419086 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1722352551.419090 yylex_token: end at WS
1722352551.419093 yylex_token: <
1722352551.419096 yylex_token: end at WS
1722352551.419099 yylex_token: send
1722352551.419102 yylex_token: end at WS
1722352551.419106 yylex_token: -X
1722352551.419109 yylex_token: end at }
1722352551.419113 yylex_token: history-top
1722352551.419119 yylex_token: end at WS
1722352551.419123 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1722352551.419126 yylex_token: end at WS
1722352551.419129 yylex_token: >
1722352551.419132 yylex_token: end at WS
1722352551.419135 yylex_token: send
1722352551.419139 yylex_token: end at WS
1722352551.419142 yylex_token: -X
1722352551.419145 yylex_token: end at }
1722352551.419148 yylex_token: history-bottom
1722352551.419152 yylex_token: end at WS
1722352551.419155 yylex_token: 
1722352551.419166 yylex_token: end at WS
1722352551.419170 yylex_token: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1722352551.419173 yylex_token: end at WS
1722352551.419177 yylex_token: C-r
1722352551.419180 yylex_token: end at WS
1722352551.419183 yylex_token: if
1722352551.419186 yylex_token: end at WS
1722352551.419189 yylex_token: -F
1722352551.419195 yylex_token: end at WS
1722352551.419198 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1722352551.419202 yylex_token: end at ;
1722352551.419205 yylex_token: copy-mode -t=
1722352551.419209 yylex_token: end at WS
1722352551.419212 yylex_token: send
1722352551.419216 yylex_token: end at WS
1722352551.419219 yylex_token: -Xt=
1722352551.419223 yylex_token: end at WS
1722352551.419226 yylex_token: search-backward
1722352551.419230 yylex_token: end at }
1722352551.419233 yylex_token: #{q:mouse_word}
1722352551.419240 yylex_token: end at WS
1722352551.419243 yylex_token: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1722352551.419247 yylex_token: end at WS
1722352551.419250 yylex_token: C-y
1722352551.419254 yylex_token: end at WS
1722352551.419257 yylex_token: copy-mode
1722352551.419260 yylex_token: end at ;
1722352551.419263 yylex_token: -q
1722352551.419267 yylex_token: end at WS
1722352551.419270 yylex_token: send-keys
1722352551.419274 yylex_token: end at WS
1722352551.419277 yylex_token: -l
1722352551.419280 yylex_token: end at WS
1722352551.419283 yylex_token: --
1722352551.419287 yylex_token: end at }
1722352551.419290 yylex_token: #{q:mouse_word}
1722352551.419297 yylex_token: end at WS
1722352551.419300 yylex_token: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1722352551.419304 yylex_token: end at WS
1722352551.419307 yylex_token: c
1722352551.419311 yylex_token: end at WS
1722352551.419314 yylex_token: copy-mode
1722352551.419317 yylex_token: end at ;
1722352551.419320 yylex_token: -q
1722352551.419324 yylex_token: end at WS
1722352551.419327 yylex_token: set-buffer
1722352551.419331 yylex_token: end at WS
1722352551.419334 yylex_token: --
1722352551.419338 yylex_token: end at }
1722352551.419341 yylex_token: #{q:mouse_word}
1722352551.419346 yylex_token: end at WS
1722352551.419349 yylex_token: #{?mouse_line,Copy Line,}
1722352551.419352 yylex_token: end at WS
1722352551.419355 yylex_token: l
1722352551.419359 yylex_token: end at WS
1722352551.419362 yylex_token: copy-mode
1722352551.419366 yylex_token: end at ;
1722352551.419369 yylex_token: -q
1722352551.419373 yylex_token: end at WS
1722352551.419376 yylex_token: set-buffer
1722352551.419379 yylex_token: end at WS
1722352551.419382 yylex_token: --
1722352551.419386 yylex_token: end at }
1722352551.419389 yylex_token: #{q:mouse_line}
1722352551.419393 yylex_token: end at WS
1722352551.419396 yylex_token: 
1722352551.419403 yylex_token: end at WS
1722352551.419406 yylex_token: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1722352551.419410 yylex_token: end at WS
1722352551.419413 yylex_token: C-h
1722352551.419416 yylex_token: end at WS
1722352551.419419 yylex_token: copy-mode
1722352551.419432 yylex_token: end at ;
1722352551.419435 yylex_token: -q
1722352551.419439 yylex_token: end at WS
1722352551.419442 yylex_token: send-keys
1722352551.419446 yylex_token: end at WS
1722352551.419449 yylex_token: -l
1722352551.419452 yylex_token: end at WS
1722352551.419455 yylex_token: --
1722352551.419460 yylex_token: end at }
1722352551.419463 yylex_token: #{q:mouse_hyperlink}
1722352551.419470 yylex_token: end at WS
1722352551.419474 yylex_token: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1722352551.419477 yylex_token: end at WS
1722352551.419480 yylex_token: h
1722352551.419484 yylex_token: end at WS
1722352551.419487 yylex_token: copy-mode
1722352551.419491 yylex_token: end at ;
1722352551.419494 yylex_token: -q
1722352551.419498 yylex_token: end at WS
1722352551.419501 yylex_token: set-buffer
1722352551.419504 yylex_token: end at WS
1722352551.419508 yylex_token: --
1722352551.419512 yylex_token: end at }
1722352551.419521 yylex_token: #{q:mouse_hyperlink}
1722352551.419525 yylex_token: end at WS
1722352551.419528 yylex_token: 
1722352551.419532 yylex_token: end at WS
1722352551.419535 yylex_token: Horizontal Split
1722352551.419539 yylex_token: end at WS
1722352551.419542 yylex_token: h
1722352551.419546 yylex_token: end at WS
1722352551.419549 yylex_token: split-window
1722352551.419552 yylex_token: end at }
1722352551.419555 yylex_token: -h
1722352551.419559 yylex_token: end at WS
1722352551.419563 yylex_token: Vertical Split
1722352551.419566 yylex_token: end at WS
1722352551.419569 yylex_token: v
1722352551.419573 yylex_token: end at WS
1722352551.419576 yylex_token: split-window
1722352551.419580 yylex_token: end at }
1722352551.419583 yylex_token: -v
1722352551.419586 yylex_token: end at WS
1722352551.419589 yylex_token: 
1722352551.419594 yylex_token: end at WS
1722352551.419598 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Up
1722352551.419601 yylex_token: end at WS
1722352551.419604 yylex_token: u
1722352551.419608 yylex_token: end at WS
1722352551.419611 yylex_token: swap-pane
1722352551.419615 yylex_token: end at }
1722352551.419618 yylex_token: -U
1722352551.419623 yylex_token: end at WS
1722352551.419627 yylex_token: #{?#{>:#{window_panes},1},,-}Swap Down
1722352551.419630 yylex_token: end at WS
1722352551.419633 yylex_token: d
1722352551.419637 yylex_token: end at WS
1722352551.419640 yylex_token: swap-pane
1722352551.419643 yylex_token: end at }
1722352551.419647 yylex_token: -D
1722352551.419652 yylex_token: end at WS
1722352551.419655 yylex_token: #{?pane_marked_set,,-}Swap Marked
1722352551.419659 yylex_token: end at WS
1722352551.419662 yylex_token: s
1722352551.419666 yylex_token: end at }
1722352551.419669 yylex_token: swap-pane
1722352551.419673 yylex_token: end at WS
1722352551.419676 yylex_token: 
1722352551.419679 yylex_token: end at WS
1722352551.419682 yylex_token: Kill
1722352551.419686 yylex_token: end at WS
1722352551.419689 yylex_token: X
1722352551.419693 yylex_token: end at }
1722352551.419696 yylex_token: kill-pane
1722352551.419699 yylex_token: end at WS
1722352551.419703 yylex_token: Respawn
1722352551.419706 yylex_token: end at WS
1722352551.419709 yylex_token: R
1722352551.419713 yylex_token: end at WS
1722352551.419716 yylex_token: respawn-pane
1722352551.419720 yylex_token: end at }
1722352551.419723 yylex_token: -k
1722352551.419728 yylex_token: end at WS
1722352551.419731 yylex_token: #{?pane_marked,Unmark,Mark}
1722352551.419734 yylex_token: end at WS
1722352551.419737 yylex_token: m
1722352551.419741 yylex_token: end at WS
1722352551.419745 yylex_token: select-pane
1722352551.419748 yylex_token: end at }
1722352551.419751 yylex_token: -m
1722352551.419758 yylex_token: end at WS
1722352551.419762 yylex_token: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1722352551.419765 yylex_token: end at WS
1722352551.419768 yylex_token: z
1722352551.419772 yylex_token: end at WS
1722352551.419775 yylex_token: resize-pane
1722352551.419779 yylex_token: end at }
1722352551.419782 yylex_token: -Z
1722352551.419788 cmd_parse_build_commands 0:0: bind
1722352551.419792 cmd_parse_build_commands 0:1: -n
1722352551.419795 cmd_parse_build_commands 0:2: MouseDown3Pane
1722352551.419799 cmd_parse_build_commands 0:3 0:0: if
1722352551.419802 cmd_parse_build_commands 0:3 0:1: -Ft=
1722352551.419807 cmd_parse_build_commands 0:3 0:2: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1722352551.419811 cmd_parse_build_commands 0:3 0:3 0:0: select-pane
1722352551.419814 cmd_parse_build_commands 0:3 0:3 0:1: -t=
1722352551.419818 cmd_parse_build_commands 0:3 0:3 1:0: send
1722352551.419821 cmd_parse_build_commands 0:3 0:3 1:1: -M
1722352551.419825 cmd_parse_build_commands 0:3 0:4 0:0: display-menu
1722352551.419828 cmd_parse_build_commands 0:3 0:4 0:1: -t=
1722352551.419832 cmd_parse_build_commands 0:3 0:4 0:2: -xM
1722352551.419835 cmd_parse_build_commands 0:3 0:4 0:3: -yM
1722352551.419838 cmd_parse_build_commands 0:3 0:4 0:4: -T
1722352551.419842 cmd_parse_build_commands 0:3 0:4 0:5: #[align=centre]#{pane_index} (#{pane_id})
1722352551.419851 cmd_parse_build_commands 0:3 0:4 0:6: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1722352551.419854 cmd_parse_build_commands 0:3 0:4 0:7: <
1722352551.419858 cmd_parse_build_commands 0:3 0:4 0:8 0:0: send
1722352551.419861 cmd_parse_build_commands 0:3 0:4 0:8 0:1: -X
1722352551.419865 cmd_parse_build_commands 0:3 0:4 0:8 0:2: history-top
1722352551.419869 cmd_parse_build_commands 0:3 0:4 0:9: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1722352551.419872 cmd_parse_build_commands 0:3 0:4 0:10: >
1722352551.419876 cmd_parse_build_commands 0:3 0:4 0:11 0:0: send
1722352551.419880 cmd_parse_build_commands 0:3 0:4 0:11 0:1: -X
1722352551.419883 cmd_parse_build_commands 0:3 0:4 0:11 0:2: history-bottom
1722352551.419887 cmd_parse_build_commands 0:3 0:4 0:12: 
1722352551.419891 cmd_parse_build_commands 0:3 0:4 0:13: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1722352551.419894 cmd_parse_build_commands 0:3 0:4 0:14: C-r
1722352551.419898 cmd_parse_build_commands 0:3 0:4 0:15 0:0: if
